RK,Player,Nation,pos,Squad,Age,Born,90s,cmp,Att,Cmp%,TotDis,PrgDist,cmp2,Att2,Cmp2%,cmp3,Att3,Cmp3%,cmp4,Att4,Cmp4%,Ast,xAG,xA,A-xAG,Kp,1/3,PPA,CrsPA,Prgp
348,David Otorbi, ESP,MF,Valencia,17-042,2007,0.2,2,4,50.0,27,4,2,3,66.7,,,,,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
349,Mikel Oyarzabal, ESP,"FW,MF",Real Sociedad,27-220,1997,8.8,126,171,73.7,1782,329,72,85,84.7,43,54,79.6,3,9,33.3,1,0.7,0.8,+0.3,4,7,4,1,9
350,Cenk Özkacar, TUR,DF,Valladolid,24-052,2000,2.2,81,98,82.7,1444,575,32,36,88.9,44,49,89.8,4,11,36.4,0,0.0,0.0,0.0,0,2,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Jon Pacheco, ESP,DF,Real Sociedad,23-324,2001,3.8,200,230,87.0,4024,1182,68,76,89.5,109,114,95.6,23,35,65.7,0,0.0,0.2,0.0,0,11,1,0,10
352,Alex Padilla, ESP,GK,Athletic Club,21-087,2003,3.6,67,121,55.4,2317,1964,9,9,100.0,25,25,100.0,33,86,38.4,0,0.0,0.0,0.0,0,4,0,0,0
353,Isaac Palazón Camacho, ESP,"FW,MF",Rayo Vallecano,29-336,1994,7.9,178,237,75.1,2998,808,88,100,88.0,66,81,81.5,19,39,48.7,1,1.1,1.2,-0.1,12,14,8,3,25
354,Aitor Paredes, ESP,DF,Athletic Club,24-212,2000,7.4,311,361,86.1,6692,2459,72,81,88.9,200,213,93.9,39,65,60.0,0,0.0,0.0,0.0,1,15,0,0,20
355,Daniel Parejo, ESP,MF,Villarreal,35-225,1989,10.4,573,645,88.8,10726,3009,228,251,90.8,268,288,93.1,66,87,75.9,0,0.3,0.6,-0.3,7,64,7,3,69
356,Pedri, ESP,MF,Barcelona,22-002,2002,11.1,648,751,86.3,11046,2539,321,342,93.9,252,283,89.0,63,95,66.3,1,2.0,2.9,-1.0,23,74,16,1,81
357,Adrià Pedrosa, ESP,DF,Sevilla,26-198,1998,10.5,385,513,75.0,6362,2134,188,204,92.2,167,209,79.9,23,66,34.8,1,0.6,0.6,+0.4,7,23,6,3,29
358,Pejiño, ESP,FW,Las Palmas,28-121,1996,0.2,6,7,85.7,87,22,3,3,100.0,3,4,75.0,,,,0,0.0,0.0,0.0,0,0,1,0,1
359,Iñaki Peña , ESP,GK,Barcelona,25-270,1999,8.5,346,393,88.0,7931,4333,53,54,98.1,238,240,99.2,55,99,55.6,0,0.0,0.0,0.0,0,0,0,0,0
360,Rubén Peña, ESP,"FW,MF",Osasuna,33-132,1991,4.6,53,101,52.5,824,363,28,39,71.8,19,38,50.0,4,12,33.3,0,0.3,0.4,-0.3,6,6,3,1,11
361,Nicolas Pépé, CIV,"FW,MF",Villarreal,29-182,1995,6.3,196,244,80.3,2526,411,125,137,91.2,54,68,79.4,6,12,50.0,2,0.7,0.7,+1.3,6,11,6,1,22
362,Peque, ESP,"MF,FW",Sevilla,22-054,2002,6.4,134,168,79.8,2005,436,78,91,85.7,39,48,81.3,10,12,83.3,0,1.0,0.7,-1.0,7,9,3,1,20
363,Ayoze Pérez, ESP,FW,Villarreal,31-121,1993,5.7,95,117,81.2,1455,410,41,47,87.2,43,52,82.7,5,9,55.6,0,0.9,0.6,-0.9,9,11,4,3,23
364,Carles Pérez, ESP,"MF,FW",Getafe,26-285,1998,10.8,154,230,67.0,2379,587,88,112,78.6,49,71,69.0,11,26,42.3,0,1.1,0.9,-1.1,11,13,11,6,13
365,Francisco Perez, ESP,MF,Valencia,22-079,2002,0.4,9,14,64.3,114,58,8,9,88.9,1,,,,4,25.0,0,0.0,0.0,0.0,0,0,2,0,2
366,Kike Pérez, ESP,MF,Valladolid,27-287,1997,8.3,260,338,76.9,4740,1388,106,129,82.2,112,126,88.9,29,56,51.8,0,0.5,0.7,-0.5,10,27,4,0,37
367,Luis Pérez, ESP,DF,Valladolid,29-297,1995,13.6,415,555,74.8,7444,3017,179,201,89.1,176,240,73.3,53,88,60.2,0,1.1,1.3,-1.1,14,31,19,17,48
368,Romain Perraud, FRA,DF,Betis,27-066,1997,10.3,452,576,78.5,6296,2032,280,306,91.5,143,176,81.3,12,42,28.6,0,0.5,0.6,-0.5,5,32,4,3,31
369,Pica, ESP,DF,Alavés,22-331,2002,4.5,138,174,79.3,2761,1129,41,49,83.7,78,87,89.7,19,35,54.3,0,0.0,0.0,0.0,1,12,1,0,14
370,Yeremi Pino, ESP,MF,Villarreal,22-038,2002,5.3,131,182,72.0,1999,473,69,86,80.2,53,71,74.6,6,10,60.0,2,2.3,1.2,-0.3,12,9,5,2,16
371,Portu, ESP,"FW,MF",Girona,32-190,1992,1.8,41,53,77.4,533,55,28,32,87.5,13,13,100.0,1,5,0.0,1,0.4,0.4,+0.6,2,2,2,0,4
372,Beñat Prados, ESP,MF,Athletic Club,23-293,2001,7.2,266,325,81.8,4575,1075,113,134,84.3,128,147,87.1,18,30,60.0,0,0.2,0.4,-0.2,4,24,2,1,30
373,Abdón Prats, ESP,"FW,MF",Mallorca,31-356,1992,2.0,22,32,68.8,396,99,11,13,84.6,8,11,72.7,3,4,75.0,0,0.0,0.0,0.0,0,3,1,0,4
374,Javi Puado, ESP,"FW,MF",Espanyol,26-186,1998,10.2,160,201,79.6,2373,325,91,103,88.3,60,70,85.7,6,14,42.9,0,0.7,0.4,-0.7,6,9,2,0,23
375,Dani Raba, ESP,"MF,FW",Leganés,29-029,1995,3.4,71,112,63.4,1232,373,32,41,78.0,30,40,75.0,7,21,33.3,2,0.9,0.4,+1.1,8,8,5,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Antonio Raillo, ESP,DF,Mallorca,33-050,1991,13.8,567,660,85.9,10960,3930,188,209,90.0,310,338,91.7,61,94,64.9,0,0.8,0.5,-0.8,6,33,4,0,42
377,Benito Ramírez, ESP,"DF,MF",Las Palmas,29-139,1995,3.0,169,211,80.1,2693,726,89,94,94.7,66,74,89.2,11,25,44.0,0,0.6,0.4,-0.6,7,6,6,5,11
378,Sandro Ramírez, ESP,"FW,MF",Las Palmas,29-141,1995,7.2,131,194,67.5,2248,697,65,82,79.3,48,64,75.0,14,31,45.2,2,1.2,0.9,+0.8,9,13,2,2,15
379,Raphinha, BRA,"FW,MF",Barcelona,27-349,1996,13.0,406,583,69.6,6872,2029,213,259,82.2,135,179,75.4,48,101,47.5,6,6.6,4.0,-0.6,44,38,21,4,56
380,Andrei Ratiu, ROU,DF,Rayo Vallecano,26-160,1998,10.9,417,519,80.3,6357,2330,228,257,88.7,160,190,84.2,19,39,48.7,1,1.8,0.5,-0.8,10,33,7,3,46
381,Raúl, ESP,FW,Osasuna,24-024,2000,3.4,36,61,59.0,464,55,22,30,73.3,12,18,66.7,,2,0.0,0,0.6,0.2,-0.6,2,2,0,0,3
382,Abderrahman Rebbach, ALG,"FW,MF",Alavés,26-108,1998,4.0,68,111,61.3,1151,230,37,53,69.8,22,33,66.7,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,4
383,Álex Remiro, ESP,GK,Real Sociedad,29-248,1995,14.0,363,472,76.9,9951,6821,52,52,100.0,202,207,97.6,109,210,51.9,0,0.0,0.0,0.0,1,6,0,0,0
384,Diego Rico, ESP,DF,Getafe,31-278,1993,13.0,445,665,66.9,8053,4505,207,244,84.8,181,261,69.3,48,119,40.3,1,1.2,2.1,-0.2,20,44,25,17,53
385,Luis Rioja, ESP,FW,Alavés,31-042,1993,0.3,5,11,45.5,70,27,3,4,75.0,2,5,40.0,,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,1
386,Luis Rioja, ESP,MF,Valencia,31-042,1993,9.7,192,303,63.4,3103,754,107,130,82.3,61,94,64.9,17,47,36.2,0,0.5,1.0,-0.5,9,13,11,7,24
387,Rodrigo Riquelme, ESP,"DF,MF",Atlético Madrid,24-239,2000,4.5,163,203,80.3,2205,588,98,112,87.5,50,57,87.7,5,18,27.8,0,0.5,0.6,-0.5,9,12,7,1,19
388,Alberto Risco, ESP,"MF,FW",Getafe,19-089,2005,0.8,25,34,73.5,340,98,15,18,83.3,6,8,75.0,2,4,50.0,0,0.1,0.2,-0.1,4,1,4,3,3
389,Mihailo Ristić, SRB,"MF,DF",Celta Vigo,29-027,1995,1.2,39,52,75.0,612,195,24,27,88.9,13,17,76.5,2,6,33.3,0,0.0,0.0,0.0,0,2,0,0,1
390,Gorka Rivera Alonso, ESP,"DF,MF",Getafe,20-118,2004,0.2,5,11,45.5,94,27,1,2,50.0,4,7,57.1,,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
391,Marc Roca, ESP,MF,Betis,28-001,1996,8.1,382,434,88.0,6538,1872,176,188,93.6,174,187,93.0,24,41,58.5,1,0.4,0.5,+0.6,11,41,5,2,49
392,Rodri, ESP,FW,Betis,24-195,2000,1.3,56,66,84.8,941,282,35,36,97.2,14,17,82.4,7,11,63.6,0,0.1,0.3,-0.1,2,4,5,0,8
393,Álvaro Rodríguez, URU,FW,Getafe,20-136,2004,2.5,30,54,55.6,424,72,14,26,53.8,12,15,80.0,1,1,100.0,0,0.2,0.2,-0.2,2,3,1,0,2
394,Óscar Rodríguez Arnaiz, ESP,"MF,FW",Leganés,26-152,1998,3.8,104,148,70.3,1660,394,59,67,88.1,35,50,70.0,8,23,34.8,2,0.4,0.2,+1.6,4,5,5,1,15
395,Damián Rodríguez, ESP,MF,Celta Vigo,21-255,2003,6.2,386,441,87.5,6649,1846,160,172,93.0,188,201,93.5,29,50,58.0,0,0.5,0.9,-0.5,10,44,3,0,35
396,Dani Rodríguez, ESP,"FW,MF",Mallorca,36-174,1988,8.4,178,261,68.2,3210,1069,85,104,81.7,61,84,72.6,27,55,49.1,3,1.5,1.5,+1.5,9,15,6,3,29
397,James Rodríguez, COL,"MF,FW",Rayo Vallecano,33-138,1991,1.6,78,98,79.6,1368,440,40,44,90.9,21,25,84.0,13,24,54.2,0,0.2,0.3,-0.2,2,12,1,0,13
398,Javi Rodríguez, ESP,DF,Celta Vigo,21-154,2003,8.7,483,569,84.9,8487,2536,202,216,93.5,229,253,90.5,44,76,57.9,1,0.7,0.5,+0.3,5,32,4,0,37
399,Kirian Rodríguez, ESP,MF,Las Palmas,28-267,1996,12.1,676,794,85.1,10590,3087,364,399,91.2,244,279,87.5,49,77,63.6,2,1.0,1.1,+1.0,11,62,12,1,89
400,Ricardo Rodríguez, SUI,DF,Betis,32-094,1992,3.7,159,199,79.9,2343,824,94,101,93.1,54,75,72.0,7,16,43.8,0,0.1,0.2,-0.1,2,11,3,2,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Rodrygo, BRA,FW,Real Madrid,23-323,2001,7.4,305,354,86.2,4067,936,199,212,93.9,81,95,85.3,11,23,47.8,1,0.7,1.1,+0.3,18,19,10,0,33
